"Letter","Synapses","Sex","Treatment","Time","ID","P1","P2","X","Y","Age","Animal","Category","Cell"
"AA","Glutamate","Male","Control",6.25,"23615005",-50.14519882,-48.31414413,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.333333333,"23615005",-184.3582916,-85.48134613,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.416666667,"23615005",-49.67940521,-4.513389111,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.5,"23615005",-3.381026506,-92.49235535,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.583333333,"23615005",-3.573769093,-46.29837799,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.666666667,"23615005",-43.00569153,-9.436356544,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.75,"23615005",-193.352951,-4.143965721,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.833333333,"23615005",-8.376272202,-101.1497116,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",6.916666667,"23615005",-4.344739437,-6.786145687,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7,"23615005",-4.979183674,-9.251645088,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.083333333,"23615005",-6.336412907,-19.7641468,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.166666667,"23615005",-39.45601654,-10.15914154,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.25,"23615005",-42.23472214,-105.7112808,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.333333333,"23615005",-12.87359905,-33.62555313,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.416666667,"23615005",-50.41825104,-58.35282135,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.5,"23615005",-15.92535686,-36.67731094,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.583333333,"23615005",-3.485428572,-76.72761536,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.666666667,"23615005",-15.43546963,-128.9608612,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.75,"23615005",-3.662109375,-6.103515625,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.833333333,"23615005",-28.82304955,-11.12285423,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",7.916666667,"23615005",-13.46788883,-6.754022121,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8,"23615005",-5.62969017,-71.54766083,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.083333333,"23615005",-5.950927734,-42.57202148,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.166666667,"23615005",-6.472939014,-123.050087,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.25,"23615005",-5.003276825,-9.275737762,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.333333333,"23615005",-42.75673294,-64.72939301,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.416666667,"23615005",-114.9950562,-7.573177814,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.5,"23615005",-24.54255676,-14.16658115,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.583333333,"23615005",-47.32633972,-5.822432518,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.666666667,"23615005",-50.96435547,-7.629394531,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.75,"23615005",-2.995541334,-6.657650471,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.833333333,"23615005",-5.147833347,-62.52088165,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",8.916666667,"23615005",-4.930998325,-120.2874451,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9,"23615005",-111.7987366,-6.818269253,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.083333333,"23615005",-5.493164063,-6.103515625,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.166666667,"23615005",-55.2930336,-18.67193985,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.25,"23615005",-4.312615871,-83.65831757,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.333333333,"23615005",-39.19099426,-7.452713966,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.416666667,"23615005",-79.39389038,-64.74545288,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.5,"23615005",-142.2841949,-57.44532394,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.583333333,"23615005",-3.99940896,-48.55507278,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.666666667,"23615005",-6.095484734,-7.316187859,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.75,"23615005",-5.276328564,-74.85640717,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.833333333,"23615005",-96.45160675,-6.119577408,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",9.916666667,"23615005",-6.778114796,-122.7449112,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10,"23615006",-99.70413971,-78.34183502,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.08333333,"23615006",-87.22406006,-15.81292439,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.16666667,"23615006",-8.681447983,-8.07109642,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.25,"23615006",-10.02261543,-8.191560745,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.33333333,"23615006",-109.871315,-43.34299088,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.41666667,"23615006",-9.484541893,-10.70524502,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.5,"23615006",-55.46971512,-57.91112137,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.58333333,"23615006",-14.71268463,-187.4421844,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.66666667,"23615006",-9.388171196,-8.167468071,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.75,"23615006",-8.143374443,-6.922671795,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.83333333,"23615006",-40.41169739,-6.232010841,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",10.91666667,"23615006",-9.845934868,-7.404528141,165.2896875,215.629375,31,13,2,"13.2.1"
